CatalogueNo,Species ,Individual,Date,Year,Season,State,Sex,SL,PreyAbd,Emp,Dip,Tric,Chironomidae,Simuliidae,Tipulidae ,Blepharicerida ,Diptera_Other,%Emp,%Dip,%Tric,%Chi,%Sim,%Tip,%Bleph,%Dip_Unk
APPSU 28389,1,1,5/22/2015,2015,Spring,North Carolina,Female,48,10,7,1,1,0,0,0,0,1,70,10,10,0,0,0,0,10
APPSU 28389,1,2,5/22/2015,2015,Spring,North Carolina,Female,43,12,6,3,0,2,1,0,0,0,50,25,0,16.66666667,8.333333333,0,0,0
APPSU 28389,1,3,5/22/2015,2015,Spring,North Carolina,Female,46,44,11,16,1,16,0,0,0,0,25,36.36363636,2.272727273,36.36363636,0,0,0,0
APPSU 28389,1,4,5/22/2015,2015,Spring,North Carolina,Female,47,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28652,1,1,10/15/2015,2015,Autumn,North Carolina,Male,67,2,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
APPSU 28852,1,1,4/29/2016,2016,Spring,North Carolina,Female,58,48,14,17,0,15,2,0,0,0,29.16666667,35.41666667,0,31.25,4.166666667,0,0,0
APPSU 28852,1,2,4/29/2016,2016,Spring,North Carolina,Female,58,21,5,8,0,7,0,0,0,1,23.80952381,38.0952381,0,33.33333333,0,0,0,4.761904762
INHS,1,1,11/7/1998,1998,Autumn,North Carolina,Male,58,4,0,1,2,0,1,0,0,0,0,25,50,0,25,0,0,0
INHS,1,2,11/7/1998,1998,Autumn,North Carolina,Male,55,39,0,10,19,5,4,1,0,0,0,25.64102564,48.71794872,12.82051282,10.25641026,2.564102564,0,0
INHS,1,4,11/7/1998,1998,Autumn,North Carolina,Female,45,2,0,0,2,0,0,0,0,0,0,0,100,0,0,0,0,0
JFBM 41557,1,1,3/21/2003,2003,Spring,North Carolina,Juvenile,39,14,0,7,0,1,0,6,0,0,0,50,0,7.142857143,0,42.85714286,0,0
JFBM 41557,1,2,3/21/2003,2003,Spring,North Carolina,Juvenile,40,13,0,5,3,3,0,2,0,0,0,38.46153846,23.07692308,23.07692308,0,15.38461538,0,0
JFBM 41557,1,3,3/21/2003,2003,Spring,North Carolina,Juvenile,38,7,2,1,3,0,0,1,0,0,28.57142857,14.28571429,42.85714286,0,0,14.28571429,0,0
NCSM 53347,1,1,5/7/2008,2008,Spring,North Carolina,Female,65,43,36,3,1,1,0,2,0,0,83.72093023,6.976744186,2.325581395,2.325581395,0,4.651162791,0,0
NCSM 53347,1,2,5/7/2008,2008,Spring,North Carolina,Male,67,16,10,3,0,2,0,1,0,0,62.5,18.75,0,12.5,0,6.25,0,0
NCSM 53347,1,3,5/7/2008,2008,Spring,North Carolina,Female,63,139,25,56,2,55,0,1,0,0,17.98561151,40.28776978,1.438848921,39.56834532,0,0.71942446,0,0
NCSM 53347,1,4,5/7/2008,2008,Spring,North Carolina,Female,60,158,10,73,2,70,0,3,0,0,6.329113924,46.20253165,1.265822785,44.30379747,0,1.898734177,0,0
NCSM 53347,1,5,5/7/2008,2008,Spring,North Carolina,Male,51,25,3,11,0,8,0,3,0,0,12,44,0,32,0,12,0,0
NCSM 53347,1,6,5/7/2008,2008,Spring,North Carolina,Male,76,22,10,5,2,2,0,3,0,0,45.45454545,22.72727273,9.090909091,9.090909091,0,13.63636364,0,0
NCSM 53347,1,7,5/7/2008,2008,Spring,North Carolina,Female,62,36,20,8,0,8,0,0,0,0,55.55555556,22.22222222,0,22.22222222,0,0,0,0
NCSM 53347,1,9,5/7/2008,2008,Spring,North Carolina,Female,61,58,38,10,0,8,0,2,0,0,65.51724138,17.24137931,0,13.79310345,0,3.448275862,0,0
NCSM 53347,1,10,5/7/2008,2008,Spring,North Carolina,Female,55,69,22,23,1,20,0,2,0,1,31.88405797,33.33333333,1.449275362,28.98550725,0,2.898550725,0,1.449275362
NCSM 62249,1,1,10/10/2010,2010,Autumn,North Carolina,Female,48,9,1,4,0,0,4,0,0,0,11.11111111,44.44444444,0,0,44.44444444,0,0,0
NCSM 62249,1,2,10/10/2010,2010,Autumn,North Carolina,Female,47,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
NCSM 62249,1,3,10/10/2010,2010,Autumn,North Carolina,Female,44,41,4,17,3,3,14,0,0,0,9.756097561,41.46341463,7.317073171,7.317073171,34.14634146,0,0,0
NCSM 62249,1,4,10/10/2010,2010,Autumn,North Carolina,Female,44,11,3,4,0,0,3,0,0,1,27.27272727,36.36363636,0,0,27.27272727,0,0,9.090909091
NCSM 75379,1,1,9/9/2013,2013,Autumn,North Carolina,Male,62,99,27,36,0,15,21,0,0,0,27.27272727,36.36363636,0,15.15151515,21.21212121,0,0,0
NCSM 75379,1,2,9/9/2013,2013,Autumn,North Carolina,Male,72,162,18,71,2,20,50,1,0,0,11.11111111,43.82716049,1.234567901,12.34567901,30.86419753,0.617283951,0,0
NCSM 75379,1,3,9/9/2013,2013,Autumn,North Carolina,Male,56,145,3,71,0,51,18,2,0,0,2.068965517,48.96551724,0,35.17241379,12.4137931,1.379310345,0,0
NCSM 75379,1,4,9/9/2013,2013,Autumn,North Carolina,Male,58,266,31,117,1,83,31,3,0,0,11.65413534,43.98496241,0.37593985,31.20300752,11.65413534,1.127819549,0,0
NCSM 75379,1,5,9/9/2013,2013,Autumn,North Carolina,Female,64,232,34,99,0,55,39,5,0,0,14.65517241,42.67241379,0,23.70689655,16.81034483,2.155172414,0,0
NCSM 75379,1,6,9/9/2013,2013,Autumn,North Carolina,Female,60,181,14,83,1,2,80,1,0,0,7.73480663,45.85635359,0.552486188,1.104972376,44.19889503,0.552486188,0,0
NCSM 75379,1,7,9/9/2013,2013,Autumn,North Carolina,Male,62,93,43,24,2,8,16,0,0,0,46.23655914,25.80645161,2.150537634,8.602150538,17.20430108,0,0,0
NCSM 75379,1,9,9/9/2013,2013,Autumn,North Carolina,Male,67,199,45,77,0,24,52,1,0,0,22.61306533,38.69346734,0,12.06030151,26.13065327,0.502512563,0,0
NCSM 75379,1,10,9/9/2013,2013,Autumn,North Carolina,Male,54,185,8,88,1,69,18,1,0,0,4.324324324,47.56756757,0.540540541,37.2972973,9.72972973,0.540540541,0,0
NCSM 75379,1,11,9/9/2013,2013,Autumn,North Carolina,Female,60,18,4,7,0,7,0,0,0,0,22.22222222,38.88888889,0,38.88888889,0,0,0,0
