CatalogueNo,Species ,Individual,Date,Year,Season,State,Sex,SL,PreyAbd,Emp,Dip,Tric,Chironomidae,Simuliidae,Tipulidae ,Blephariceridae ,Diptera_Other,%Emp,%Dip,%Tric,%Chi,%Sim,%Tip,%Bleph,%Dip_Unk,sqrtPreyAbd,sqrtEmp,sqrtDip,sqrtTric,sqrtChironomidae,sqrtSimuliidae,sqrtTipulidae ,sqrtBlephariceridae,sqrtDiptera_Other,sqrtXEmp,sqrtXDip,sqrtXTric,sqrtXChi,sqrtXSim,sqrtXTip,sqrtXBleph,sqrtXDip_Unk
APPSU 28389,1,1,5/22/2015,2015,Spring,North Carolina,Female,48,10,7,1,1,0,0,0,0,1,70,10,10,0,0,0,0,10,3.16227766,2.645751311,1,1,0,0,0,0,1,8.366600265,3.16227766,3.16227766,0,0,0,0,3.16227766
APPSU 28389,1,2,5/22/2015,2015,Spring,North Carolina,Female,43,12,6,3,0,2,1,0,0,0,50,25,0,16.66666667,8.333333333,0,0,0,3.464101615,2.449489743,1.732050808,0,1.414213562,1,0,0,0,7.071067812,5,0,4.082482905,2.886751346,0,0,0
APPSU 28389,1,3,5/22/2015,2015,Spring,North Carolina,Female,46,44,11,16,1,16,0,0,0,0,25,36.36363636,2.272727273,36.36363636,0,0,0,0,6.633249581,3.31662479,4,1,4,0,0,0,0,5,6.030226891,1.507556723,6.030226891,0,0,0,0
APPSU 28389,1,4,5/22/2015,2015,Spring,North Carolina,Female,47,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
APPSU 28652,1,1,10/15/2015,2015,Autumn,North Carolina,Male,67,2,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.414213562,1.414213562,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
APPSU 28852,1,1,4/29/2016,2016,Spring,North Carolina,Female,58,48,14,17,0,15,2,0,0,0,29.16666667,35.41666667,0,31.25,4.166666667,0,0,0,6.92820323,3.741657387,4.123105626,0,3.872983346,1.414213562,0,0,0,5.400617249,5.951190357,0,5.590169944,2.041241452,0,0,0
APPSU 28852,1,2,4/29/2016,2016,Spring,North Carolina,Female,58,21,5,8,0,7,0,0,0,1,23.80952381,38.0952381,0,33.33333333,0,0,0,4.761904762,4.582575695,2.236067977,2.828427125,0,2.645751311,0,0,0,1,4.879500365,6.172133999,0,5.773502692,0,0,0,2.182178902
INHS,1,1,11/7/1998,1998,Autumn,North Carolina,Male,58,4,0,1,2,0,1,0,0,0,0,25,50,0,25,0,0,0,2,0,1,1.414213562,0,1,0,0,0,0,5,7.071067812,0,5,0,0,0
INHS,1,2,11/7/1998,1998,Autumn,North Carolina,Male,55,39,0,10,19,5,4,1,0,0,0,25.64102564,48.71794872,12.82051282,10.25641026,2.564102564,0,0,6.244997998,0,3.16227766,4.358898944,2.236067977,2,1,0,0,0,5.063696835,6.979824405,3.58057437,3.202563077,1.601281538,0,0
INHS,1,4,11/7/1998,1998,Autumn,North Carolina,Female,45,2,0,0,2,0,0,0,0,0,0,0,100,0,0,0,0,0,1.414213562,0,0,1.414213562,0,0,0,0,0,0,0,10,0,0,0,0,0
NCSM 53347,1,1,5/7/2008,2008,Spring,North Carolina,Female,65,43,36,3,1,1,0,2,0,0,83.72093023,6.976744186,2.325581395,2.325581395,0,4.651162791,0,0,6.557438524,6,1.732050808,1,1,0,1.414213562,0,0,9.14991422,2.641352719,1.524985703,1.524985703,0,2.156655464,0,0
NCSM 53347,1,2,5/7/2008,2008,Spring,North Carolina,Male,67,16,10,3,0,2,0,1,0,0,62.5,18.75,0,12.5,0,6.25,0,0,4,3.16227766,1.732050808,0,1.414213562,0,1,0,0,7.90569415,4.330127019,0,3.535533906,0,2.5,0,0
NCSM 53347,1,3,5/7/2008,2008,Spring,North Carolina,Female,63,139,25,56,2,55,0,1,0,0,17.98561151,40.28776978,1.438848921,39.56834532,0,0.71942446,0,0,11.78982612,5,7.483314774,1.414213562,7.416198487,0,1,0,0,4.240944648,6.347264748,1.199520288,6.290337457,0,0.848188929,0,0
NCSM 53347,1,4,5/7/2008,2008,Spring,North Carolina,Female,60,158,10,73,2,70,0,3,0,0,6.329113924,46.20253165,1.265822785,44.30379747,0,1.898734177,0,0,12.56980509,3.16227766,8.544003745,1.414213562,8.366600265,0,1.732050808,0,0,2.515773027,6.797244416,1.125087901,6.656109785,0,1.377945636,0,0
NCSM 53347,1,5,5/7/2008,2008,Spring,North Carolina,Male,51,25,3,11,0,8,0,3,0,0,12,44,0,32,0,12,0,0,5,1.732050808,3.31662479,0,2.828427125,0,1.732050808,0,0,3.464101615,6.633249581,0,5.656854249,0,3.464101615,0,0
NCSM 53347,1,6,5/7/2008,2008,Spring,North Carolina,Male,76,22,10,5,2,2,0,3,0,0,45.45454545,22.72727273,9.090909091,9.090909091,0,13.63636364,0,0,4.69041576,3.16227766,2.236067977,1.414213562,1.414213562,0,1.732050808,0,0,6.741998624,4.767312947,3.015113446,3.015113446,0,3.69274473,0,0
NCSM 53347,1,7,5/7/2008,2008,Spring,North Carolina,Female,62,36,20,8,0,8,0,0,0,0,55.55555556,22.22222222,0,22.22222222,0,0,0,0,6,4.472135955,2.828427125,0,2.828427125,0,0,0,0,7.453559925,4.714045208,0,4.714045208,0,0,0,0
NCSM 53347,1,9,5/7/2008,2008,Spring,North Carolina,Female,61,58,38,10,0,8,0,2,0,0,65.51724138,17.24137931,0,13.79310345,0,3.448275862,0,0,7.615773106,6.164414003,3.16227766,0,2.828427125,0,1.414213562,0,0,8.094272134,4.152273993,0,3.713906764,0,1.856953382,0,0
NCSM 53347,1,10,5/7/2008,2008,Spring,North Carolina,Female,55,69,22,23,1,20,0,2,0,1,31.88405797,33.33333333,1.449275362,28.98550725,0,2.898550725,0,1.449275362,8.306623863,4.69041576,4.795831523,1,4.472135955,0,1.414213562,0,1,5.646597026,5.773502692,1.203858531,5.383819021,0,1.702513062,0,1.203858531
NCSM 62249,1,1,10/10/2010,2010,Autumn,North Carolina,Female,48,9,1,4,0,0,4,0,0,0,11.11111111,44.44444444,0,0,44.44444444,0,0,0,3,1,2,0,0,2,0,0,0,3.333333333,6.666666666,0,0,6.666666666,0,0,0
